Wavelengths,Rrs_sr-1,MEM_PUW,MEM_LowC,MEM_CDOM,MEM_CDOM-Chl,MEM_Chl,MEM_TSM,MEM_TSM-CDOM,MEM_TSM-Chl,MEM_HighC
749,0.002871781,6.84E-06,0.000542162,0.000527303,0.004706723,0.004847945,0.017030791,0.016560353,0.021568633,0.021005341
750,0.002862977,6.74E-06,0.000540646,0.000526016,0.004693669,0.004832694,0.017007537,0.016543598,0.021536847,0.020981231
751,0.002848162,6.69E-06,0.000539226,0.000524819,0.004681237,0.004818132,0.016985901,0.016528299,0.021507533,0.020959385
752,0.002843526,6.67E-06,0.000537909,0.000523717,0.004669591,0.004804432,0.016966437,0.016514983,0.021481398,0.020940476
753,0.002824646,6.66E-06,0.00053672,0.000522734,0.004659158,0.004792039,0.016950577,0.016505023,0.0214603,0.02092629
754,0.002821617,6.65E-06,0.000535655,0.000521865,0.004650003,0.004781022,0.016938563,0.016498657,0.021444574,0.020917159
755,0.002805678,6.65E-06,0.000534734,0.000521131,0.004642222,0.004771478,0.016930854,0.016496327,0.021434624,0.020913473
756,0.002798381,6.65E-06,0.000533896,0.000520473,0.004635312,0.004762875,0.016925695,0.016496366,0.021428353,0.020913235
757,0.002795371,6.65E-06,0.00053317,0.00051992,0.004629535,0.004755486,0.016924062,0.016499713,0.02142689,0.020917535
758,0.002792363,6.65E-06,0.0005326,0.000519513,0.004625268,0.004749705,0.016927339,0.016507698,0.021431851,0.020927929
759,0.002789357,6.66E-06,0.000532192,0.000519258,0.004622575,0.004745598,0.016935798,0.016520584,0.021443516,0.020944692
760,0.002784808,6.66E-06,0.00053181,0.000519026,0.004620213,0.004741855,0.016945082,0.016534213,0.021456622,0.020962785
761,0.002766438,6.66E-06,0.000531461,0.000518825,0.004618213,0.004738509,0.016955417,0.016548805,0.021471303,0.020982343
762,0.00276345,6.67E-06,0.000531285,0.000518786,0.004617818,0.004736861,0.016971188,0.01656856,0.021492846,0.021008443
763,0.002760464,6.68E-06,0.000531342,0.000518969,0.004619618,0.004737531,0.01699442,0.016595423,0.02152377,0.021043509
764,0.00275748,6.69E-06,0.000531587,0.000519329,0.004623199,0.004740079,0.01702366,0.016628015,0.021562332,0.021085881
765,0.002754499,6.71E-06,0.000531958,0.000519809,0.004627974,0.004743887,0.017056961,0.016664475,0.021606037,0.021133169
766,0.002755707,6.72E-06,0.000532423,0.000520378,0.004633599,0.004748595,0.017093301,0.016703827,0.021653434,0.021183983
767,0.002765374,6.73E-06,0.000533044,0.000521095,0.004640677,0.004754832,0.017134927,0.016748234,0.02170711,0.021240818
768,0.002762386,6.75E-06,0.00053386,0.000521999,0.004649495,0.004762895,0.017182849,0.016798668,0.021768281,0.021304848
769,0.002759398,6.76E-06,0.000534871,0.000523086,0.004660122,0.004772857,0.017237426,0.016855484,0.02183728,0.021376402
770,0.002756413,6.73E-06,0.000536026,0.000524312,0.004672276,0.004784422,0.017297758,0.016917821,0.021912953,0.021454374
771,0.002761886,6.66E-06,0.00053723,0.000525583,0.004685149,0.004796739,0.017361066,0.016983017,0.021991872,0.021535472
772,0.002773104,6.56E-06,0.000538504,0.00052692,0.004698858,0.004809933,0.017427778,0.017051485,0.022074521,0.021620165
773,0.00278157,6.45E-06,0.000539878,0.000528352,0.004713462,0.004824064,0.017498203,0.017123526,0.022161103,0.02170865
774,0.002778567,6.34E-06,0.000541457,0.000529981,0.004729831,0.004840038,0.017575377,0.017202064,0.022255285,0.021804466
775,0.002789986,6.22E-06,0.000543256,0.000531821,0.004748201,0.004858102,0.01766004,0.017287817,0.02235807,0.021908586
776,0.002789878,6.11E-06,0.000545226,0.000533823,0.004768061,0.004877719,0.017750326,0.017378995,0.022467252,0.02201889
777,0.002795588,6.00E-06,0.000547287,0.000535915,0.004788623,0.004898066,0.017843514,0.017472983,0.022579449,0.022132118
778,0.002807226,5.89E-06,0.000549492,0.000538144,0.004810373,0.004919649,0.017941472,0.017571582,0.022696725,0.022250267
779,0.002818994,5.80E-06,0.000552031,0.000540695,0.004834957,0.004944185,0.018050042,0.017680425,0.022826019,0.022380037
780,0.002830893,5.74E-06,0.000555048,0.000543706,0.004863535,0.004972881,0.018173185,0.017803334,0.022972172,0.022526108
781,0.002855782,5.73E-06,0.000558459,0.000547095,0.004895222,0.005004813,0.018307783,0.017937316,0.023131362,0.022684801
782,0.00287199,5.76E-06,0.000562243,0.000550846,0.004929949,0.005039905,0.018453581,0.018082131,0.023303259,0.022855804
783,0.002884448,5.81E-06,0.000566289,0.000554848,0.004966848,0.005077252,0.018607536,0.018234851,0.023484187,0.023035574
784,0.002897048,5.85E-06,0.000570586,0.000559093,0.005005948,0.005116884,0.018769753,0.018395582,0.023674266,0.023224231
785,0.002911138,5.91E-06,0.000575099,0.000563546,0.005046852,0.005158384,0.018938788,0.018562934,0.023871753,0.023420094
786,0.002937715,5.96E-06,0.00057979,0.000568171,0.005089263,0.005201444,0.019113584,0.018735893,0.024075382,0.023621943
787,0.002966875,6.02E-06,0.000584624,0.000572935,0.005132878,0.005245746,0.019293043,0.018913399,0.024283848,0.02382852
788,0.002987087,6.08E-06,0.000589583,0.00057782,0.005177542,0.005291129,0.019476587,0.019094898,0.024496475,0.024039171
789,0.003006559,6.14E-06,0.000594665,0.000582825,0.005223234,0.005337571,0.019664101,0.019280279,0.024713133,0.024253775
790,0.003033684,6.20E-06,0.000599857,0.000587937,0.005269854,0.005384966,0.019855194,0.019469168,0.024933391,0.024471913
